max_length,stride,bits_budget,best_topk_ratio,best_error_ratio,best_svd_ratio,best_avg_ppl,fitted_topk_ratio,fitted_error_ratio,fitted_svd_ratio,near_min_topk_ratio,near_max_topk_ratio,near_min_error_ratio,near_max_error_ratio,near_min_svd_ratio,near_max_svd_ratio,near_count,total_count
512,256,0.75,0,0,1,34.9337215911,1.80165552592e-31,9.28791912065e-25,1,0,0,0,0,1,1,1,25
512,256,1,0,0,1,16.3479615833,6.54248694398e-37,2.35452203381e-27,1,0,0,0,0,1,1,1,25
512,256,1.25,0,0,1,11.2383358192,2.50669128255e-08,0.0126201140727,0.98737986086,0,0,0,0.05,0.95,1,2,25
512,256,1.5,0,0.05,0.95,10.0028391614,4.57316148712e-05,0.0499653539858,0.949988914399,0,0,0.05,0.05,0.95,0.95,1,25
512,256,1.75,0.05,0.05,0.9,9.8023543802,0.0328569314224,0.066692066907,0.900451001671,0,0.05,0,0.15,0.85,0.95,6,25
512,256,2,0.05,0.2,0.75,9.74705479744,0.0557505326216,0.156460047326,0.787789420053,0.05,0.1,0.05,0.2,0.75,0.9,6,25
512,256,2.25,0.15,0.2,0.65,9.75101204573,0.119089106411,0.176260787654,0.704650105934,0.05,0.2,0.1,0.2,0.6,0.8,11,25
2048,512,0.75,0,0,1,11.4635979994,3.93654968331e-21,1.66410204339e-19,1,0,0,0,0,1,1,1,25
2048,512,1,0,0,1,8.6303594365,4.79217253632e-07,5.25080103202e-06,0.999994269982,0,0,0,0,1,1,1,25
2048,512,1.25,0,0.05,0.95,8.27092183105,0.00877604551666,0.0429594574997,0.948264496984,0,0.05,0,0.05,0.95,0.95,2,25
2048,512,1.5,0,0.05,0.95,8.2596962988,0.0470468674892,0.0594335302186,0.893519602292,0,0.15,0,0.15,0.8,0.95,10,25
2048,512,1.75,0.1,0,0.9,8.27567110152,0.11283470572,0.0716750438612,0.815490250419,0,0.2,0,0.2,0.65,0.95,20,25
2048,512,2,0.2,0.05,0.75,8.28215165017,0.143297427196,0.121055976853,0.735646595951,0,0.2,0,0.2,0.6,0.9,19,25
2048,512,2.25,0.2,0.2,0.6,8.28926546048,0.170182638614,0.149391622869,0.680425738517,0.05,0.2,0,0.2,0.6,0.8,11,25
8192,1024,0.75,0,0,1,9.12035098767,1.93479335293e-12,1.95314902501e-13,0.999999999998,0,0,0,0,1,1,1,25
8192,1024,1,0,0,1,8.09726477745,2.73675678532e-05,0.00140615479835,0.998566477634,0,0,0,0,1,1,1,25
8192,1024,1.25,0,0,1,7.98324239815,0.000331573792137,0.00721322940753,0.9924551968,0,0,0,0.05,0.95,1,2,25
8192,1024,1.5,0,0,1,7.97534861486,0.00498207068647,0.0159755536807,0.979042375633,0,0,0,0.05,0.95,1,2,25
8192,1024,1.75,0,0,1,7.96818706818,0.0369302648664,0.0407567100859,0.922313025048,0,0.2,0,0.15,0.8,1,6,25
8192,1024,2,0,0.2,0.8,7.96833039781,0.0618656366129,0.0965692463784,0.841565117009,0,0.2,0,0.2,0.7,1,14,25
8192,1024,2.25,0,0.2,0.8,7.97651387101,0.0969943290352,0.105949919844,0.79705575112,0,0.2,0,0.2,0.65,1,20,25
