status,mode,rank,s_format,uv_format,bytes_per_token,avg_ppl,eval_time_s
ok,bitsqz_topk_0_005,512,fp32,onlinesvd_bitsqz_topk_0.005_fp32,6265.0,8.78,0
ok,bitsqz_topk_0_005,512,fp32,onlinesvd_bitsqz_topk_0.005_fp16,3193.02,8.78,0
ok,bitsqz_topk_0_005,512,fp32,onlinesvd_bitsqz_topk_0.005_bf16,3193.02,8.78,0
ok,bitsqz_topk_0_005,512,fp32,onlinesvd_bitsqz_topk_0.005_q8_0,1849.04,8.77,0
ok,bitsqz_topk_0_005,512,fp32,onlinesvd_bitsqz_topk_0.005_mxfp8,1705.04,8.78,0
ok,bitsqz_topk_0_005,512,fp32,onlinesvd_bitsqz_topk_0.005_fp8,1657.03,8.79,0
ok,bitsqz_topk_0_005,512,fp32,onlinesvd_bitsqz_topk_0.005_q4_0,1081.035,8.94,0
ok,bitsqz_topk_0_005,512,fp32,onlinesvd_bitsqz_topk_0.005_nf4,985.035,8.93,0
ok,bitsqz_topk_0_005,512,fp32,onlinesvd_bitsqz_topk_0.005_mxfp4,937.035,9.06,0
ok,bitsqz_topk_0_005,512,fp32,onlinesvd_bitsqz_topk_0.005_nf4_dq,913.039,8.94,0
ok,bitsqz_topk_0_001,512,fp32,onlinesvd_bitsqz_topk_0.001_fp32,6169,8.73,0
ok,bitsqz_topk_0_001,512,fp32,onlinesvd_bitsqz_topk_0.001_fp16,3097.02,8.72,0
ok,bitsqz_topk_0_001,512,fp32,onlinesvd_bitsqz_topk_0.001_bf16,3097.02,8.73,0
ok,bitsqz_topk_0_001,512,fp32,onlinesvd_bitsqz_topk_0.001_q8_0,1753.04,8.73,0
ok,bitsqz_topk_0_001,512,fp32,onlinesvd_bitsqz_topk_0.001_mxfp8,1609.04,8.74,0
ok,bitsqz_topk_0_001,512,fp32,onlinesvd_bitsqz_topk_0.001_fp8,1561.03,8.74,0
ok,bitsqz_topk_0_001,512,fp32,onlinesvd_bitsqz_topk_0.001_q4_0,985.035,8.98,0
ok,bitsqz_topk_0_001,512,fp32,onlinesvd_bitsqz_topk_0.001_nf4,889.035,8.95,0
ok,bitsqz_topk_0_001,512,fp32,onlinesvd_bitsqz_topk_0.001_mxfp4,841.035,9.11,0
ok,bitsqz_topk_0_001,512,fp32,onlinesvd_bitsqz_topk_0.001_nf4_dq,817.039,8.94,0
ok,bitsqz,512,fp32,onlinesvd_bitsqz_fp32,6145,8.71737,0
ok,bitsqz,512,fp32,onlinesvd_bitsqz_fp16,3073.02,8.71308,0
ok,bitsqz,512,fp32,onlinesvd_bitsqz_bf16,3073.02,8.71857,0
ok,bitsqz,512,fp32,onlinesvd_bitsqz_q8_0,1729.04,8.72783,0
ok,bitsqz,512,fp32,onlinesvd_bitsqz_mxfp8,1585.04,8.74487,0
ok,bitsqz,512,fp32,onlinesvd_bitsqz_fp8,1537.03,8.76001,0
ok,bitsqz,512,fp32,onlinesvd_bitsqz_q4_0,961.035,9.19341,0
ok,bitsqz,512,fp32,onlinesvd_bitsqz_nf4,865.035,9.24563,0
ok,bitsqz,512,fp32,onlinesvd_bitsqz_mxfp4,817.035,9.76788,0
ok,bitsqz,512,fp32,onlinesvd_bitsqz_nf4_dq,793.039,9.26441,0
ok,bitsqz_only,512,fp32,bf16,8192.01171875,8.595445160456427,0
ok,bitsqz_only,512,fp32,fp16,8192.01171875,8.595445160456427,0
ok,bitsqz_only,512,fp32,Q8_0,4608.017578125,8.59645746330216,0
ok,bitsqz_only,512,fp32,MXFP8,4224.017578125,8.612243090664975,0
ok,bitsqz_only,512,fp32,fp8,4096.013671875,8.595293326539386,0
ok,bitsqz_only,512,fp32,Q4_0,2560.017578125,8.697537850003862,0
ok,bitsqz_only,512,fp32,NF4,2304.017578125,8.664631783908382,0
ok,bitsqz_only,512,fp32,MXFP4,2176.017578125,8.808449340359502,0
ok,bitsqz_only,512,fp32,NF4_DQ,2112.01953125,8.67369605723526,0
ok,bitsqz_only,512,fp32,Q2_K,1344.015625,9.523329711411254,0
ok,bitsqz_only_topk_0_001,512,fp32,bf16,8216.01171875,8.595445160456427,0
ok,bitsqz_only_topk_0_001,512,fp32,fp16,8216.01171875,8.595445160456427,0
ok,bitsqz_only_topk_0_001,512,fp32,Q8_0,4632.017578125,8.589837470750135,0
ok,bitsqz_only_topk_0_001,512,fp32,MXFP8,4120.013671875,8.592545522202576,0
ok,bitsqz_only_topk_0_001,512,fp32,fp8,4248.017578125,8.600738939309835,0
ok,bitsqz_only_topk_0_001,512,fp32,Q4_0,2584.017578125,8.666334294468443,0
ok,bitsqz_only_topk_0_001,512,fp32,NF4,2328.017578125,8.650021341911213,0
ok,bitsqz_only_topk_0_001,512,fp32,MXFP4,2200.017578125,8.684010834039828,0
ok,bitsqz_only_topk_0_001,512,fp32,NF4_DQ,2136.01953125,8.65586403043136,0
ok,bitsqz_only_topk_0_001,512,fp32,Q2_K,1368.015625,9.227704791701036,0
